data_pregao,codigo_bdi,codigo_negociacao,tipo_mercado,nome_empresa,especificacao_papel,moeda,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_total,volume_total
20030212,02,VALE3,010,VALE R DOCE,ON,R$,105.01,105.01,102.5,103.68,103.21,103.21,104.38,142,69500,7206414.0
20030212,02,VALE5,010,VALE R DOCE,PNA,R$,100.0,100.8,98.2,99.18,98.2,97.01,98.2,306,230500,22861390.0
20030212,96,TMCP4F,020,TELEMIG PART,PN *,R$,2.43,2.51,2.42,2.43,2.51,2.42,2.52,13,377522,921.05
20030212,02,RPSA4,010,RIPASA,PN      N1,R$,1.3,1.33,1.28,1.3,1.33,1.29,1.33,38,603000,786800.0
20030212,02,SULT4,010,SULTEPA,PN,R$,0.31,0.31,0.3,0.3,0.3,0.28,0.3,7,17000,5170.0
20030212,02,CBEE3,010,CERJ,ON *I02,R$,0.24,0.24,0.24,0.24,0.24,0.24,0.27,8,52000000,12480.0
20030212,02,ELPL4,010,ELETROPAULO,PN *,R$,22.89,23.49,22.5,22.97,22.5,22.5,23.0,205,64360000,1478386.9
20030212,02,SLED4,010,SARAIVA LIVR,PN,R$,8.84,8.84,8.84,8.84,8.84,8.7,9.4,1,442200,3909048.0
20030212,02,ITSA4,010,ITAUSA,PN      N1,R$,1.9,1.91,1.86,1.88,1.89,1.89,1.91,177,1918000,3624050.0
20030212,96,TBLE3F,020,TRACTEBEL,ON *,R$,3.45,3.45,3.2,3.2,3.2,3.2,3.38,7,48943,156.6
20030212,96,SBSP3F,020,SABESP,ON *    NM,R$,84.54,90.0,84.54,86.48,90.0,89.2,90.0,31,96513,8376.45
20030212,02,ARTE4,010,KUALA,PN *,R$,10.02,10.02,10.01,10.01,10.01,10.01,10.99,2,30000,300.4
20030212,02,ITSA3,010,ITAUSA,ON      N1,R$,3.32,3.32,3.32,3.32,3.32,3.29,0.0,2,5000,16600.0
20030212,02,ROMI4,010,INDS ROMI,PN *,R$,29.4,29.4,29.3,29.36,29.3,29.4,30.4,2,800000,23490.0
20030212,02,RIPI4,010,IPIRANGA REF,PN *,R$,4.35,4.35,4.35,4.35,4.35,4.3,4.55,1,1600000,6960.0
20030212,02,UGPA3,010,ULTRAPAR,ON *,R$,20.0,20.0,20.0,20.0,20.0,18.0,21.0,1,100000,2000.0
20030212,02,DURA4,010,DURATEX,PN *,R$,49.0,49.0,48.2,48.91,48.9,48.1,48.95,14,11700000,572285.0
20030212,02,FFTL4,010,FOSFERTIL,PN *,R$,9.85,9.85,9.7,9.71,9.75,9.7,9.8,9,13600000,132133.0
20030212,02,POMO4,010,MARCOPOLO,PN      N2,R$,3.9,4.0,3.9,3.9,3.98,3.93,3.98,31,47000,183407.0
20030212,02,UNIP6,010,UNIPAR,PNB,R$,1.01,1.01,0.99,0.99,1.0,0.99,1.0,52,662000,659950.0
20030212,02,EMBR4,010,EMBRAER,PN,R$,11.29,11.35,11.09,11.19,11.35,11.3,11.35,282,616500,6901440.0
20030212,02,EMBR3,010,EMBRAER,ON,R$,10.12,10.12,9.7,9.86,9.7,9.7,9.9,134,168100,1658933.0
