Status do Arquivo: Parcial
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-05-08;CNLH26;BRBMEFCNL1A5;AGRIBUSINESS;;;;;;1751,22;;;;;
2025-05-08;CNLK25;BRBMEFCNL151;AGRIBUSINESS;;;;;;1860,67;;;;;
2025-05-08;CNLN25;BRBMEFCNL169;AGRIBUSINESS;;;;;;1700;;;;;
2025-05-08;CNLU25;BRBMEFCNL177;AGRIBUSINESS;;;;;;1751,22;;;;;
2025-05-08;CNLX25;BRBMEFCNL185;AGRIBUSINESS;;;;;;1751,22;;;;;
2025-05-08;ETHF26;BRBMEFETH5M9;AGRIBUSINESS;;;;;;2810;;;;;
2025-05-08;ETHG26;BRBMEFETH5N7;AGRIBUSINESS;;;;;;2810;;;;;
2025-05-08;ETHH26;BRBMEFETH5O5;AGRIBUSINESS;;;;;;2810;;;;;
2025-05-08;ETHK25;BRBMEFETH525;AGRIBUSINESS;;;;;;2681;;;;;
2025-05-08;ETHM25;BRBMEFETH5E6;AGRIBUSINESS;;;;;;2661,5;;;;;
2025-05-08;ETHN25;BRBMEFETH5F3;AGRIBUSINESS;;;;;;2680;;;;;
2025-05-08;ETHQ25;BRBMEFETH5G1;AGRIBUSINESS;;;;;;2680;;;;;
2025-05-08;ETHU25;BRBMEFETH5H9;AGRIBUSINESS;;;;;;2715;;;;;
2025-05-08;ETHV25;BRBMEFETH5I7;AGRIBUSINESS;;;;;;2793,5;;;;;
2025-05-08;ETHX25;BRBMEFETH5K3;AGRIBUSINESS;;;;;;2795;;;;;
2025-05-08;ETHZ25;BRBMEFETH5L1;AGRIBUSINESS;;;;;;2780;;;;;
2025-05-08;HSIK25;BRBMEFHSI4H9;FINANCIAL;;;;;;22749;;;;;
2025-05-08;HSIM25;BRBMEFHSI4I7;FINANCIAL;;;;;;22655;;;;;
2025-05-08;ICFH26;BRBMEFICF3B4;AGRIBUSINESS;;;;;;462,4;;;;;
2025-05-08;ICFK25;BRBMEFICF393;AGRIBUSINESS;;;;;;497;;;;;
2025-05-08;ICFK26;BRBMEFICF3F5;AGRIBUSINESS;;;;;;450,85;;;;;
2025-05-08;ICFN25;BRBMEFICF3C2;AGRIBUSINESS;;;;;;487,95;;;;;
2025-05-08;ICFU25;BRBMEFICF369;AGRIBUSINESS;;;;;;473,55;;;;;
2025-05-08;ICFU26;BRBMEFICF3D0;AGRIBUSINESS;;;;;;381,8;;;;;
2025-05-08;ICFZ25;BRBMEFICF3A6;AGRIBUSINESS;;;;;;457,5;;;;;
2025-05-08;ICFZ26;BRBMEFICF3E8;AGRIBUSINESS;;;;;;382,1;;;;;
2025-05-08;JSEM25;BRBMEFJSE1H7;FINANCIAL;;;;;;84187;;;;;
2025-05-08;JSEU25;BRBMEFJSE1I5;FINANCIAL;;;;;;85088;;;;;
2025-05-08;JSEZ25;BRBMEFJSE1J3;FINANCIAL;;;;;;85879;;;;;
